PPG,60430,104442,107017
ECG,60434,-43891,
PPG,60440,104447,107004
ECG,60442,-45801,
GSR,60445,472,
PPG,60450,104447,107024
ECG,60451,-43329,
ECG,60459,-44848,
PPG,60462,104439,107014
ECG,60466,-42641,
PPG,60470,104435,107017
ECG,60474,-45806,
PPG,60480,104445,107025
ECG,60481,-45174,
PPG,60489,104433,107041
ECG,60490,-48408,
ECG,60497,-42616,
PPG,60502,104442,107043
GSR,60503,472,
ECG,60506,-44977,
PPG,60510,104463,107079
ECG,60514,-43163,
PPG,60520,104473,107084
ECG,60522,-45638,
PPG,60530,104471,107120
ECG,60531,-43941,
ECG,60537,-46205,
PPG,60540,104487,107141
ECG,60546,-45289,
PPG,60550,104486,107162
ECG,60554,-46054,
GSR,60556,471,
PPG,60560,104502,107196
ECG,60561,-43237,
PPG,60570,104529,107214
ECG,60571,-44971,
ECG,60577,-45047,
PPG,60581,104536,107240
ECG,60585,-42976,
PPG,60590,104545,107275
ECG,60594,-44579,
PPG,60600,104560,107308
ECG,60601,-44479,
PPG,60610,104561,107324
GSR,60611,471,
ECG,60612,-45546,
ECG,60617,-43228,
PPG,60620,104580,107362
ECG,60625,-44125,
PPG,60631,104597,107385
ECG,60634,-42914,
PPG,60641,104604,107414
ECG,60642,-45171,
PPG,60651,104611,107429
ECG,60651,-43067,
ECG,60658,-45071,
PPG,60661,104628,107450
ECG,60665,-41931,
GSR,60667,470,
PPG,60670,104634,107475
ECG,60674,-46655,
PPG,60680,104638,107497
ECG,60681,-44527,
ECG,60689,-46143,
PPG,60692,104650,107535
ECG,60697,-42717,
PPG,60700,104676,107540
ECG,60705,-45044,
PPG,60710,104689,107562
ECG,60713,-44402,
PPG,60721,104660,107572
GSR,60722,470,
ECG,60723,-47030,
PPG,60730,104678,107603
ECG,60731,-44674,
ECG,60737,-46722,
PPG,60741,104671,107615
ECG,60745,-44800,
PPG,60751,104701,107628
ECG,60753,-42942,
PPG,60761,104710,107656
ECG,60762,-36203,
ECG,60769,-29514,
PPG,60773,104711,107668
ECG,60777,-33703,
PPG,60781,104715,107681
ECG,60785,-41373,
GSR,60788,470,
PPG,60790,104730,107668
ECG,60793,-51387,
PPG,60801,104716,107687
ECG,60802,-60602,
PPG,60811,104744,107702
ECG,60811,-60365,
ECG,60818,-53837,
PPG,60821,104741,107718
ECG,60825,-50359,
PPG,60831,104761,107735
ECG,60833,-44389,
PPG,60840,104731,107749
ECG,60841,-44867,
GSR,60845,470,
ECG,60849,-41530,
PPG,60852,104747,107767
ECG,60857,-42569,
PPG,60861,104750,107797
ECG,60865,-40854,
PPG,60871,104754,107803
ECG,60873,-43864,
PPG,60881,104776,107822
ECG,60882,-40952,
ECG,60890,-43072,
PPG,60893,104790,107849
ECG,60897,-40254,
PPG,60901,104796,107852
GSR,60904,470,
ECG,60905,-42080,
PPG,60911,104819,107875
ECG,60913,-39106,
PPG,60921,104803,107907
ECG,60922,-40946,
ECG,60929,-38402,
PPG,60932,104821,107932
ECG,60937,-38706,
PPG,60941,104821,107938
ECG,60945,-37902,
PPG,60951,104827,107945
ECG,60953,-38117,
PPG,60961,104835,107969
GSR,60962,470,
ECG,60962,-36781,
ECG,60969,-37630,
PPG,60973,104843,107990
ECG,60977,-35599,
PPG,60982,104834,107980
ECG,60985,-33369,
PPG,60991,104816,107911
ECG,60992,-32672,
PPG,61001,104778,107833
ECG,61002,-30300,
ECG,61008,-30284,
PPG,61012,104723,107684
ECG,61017,-28061,
GSR,61020,470,
PPG,61022,104664,107548
ECG,61025,-30682,
PPG,61032,104615,107408
ECG,61033,-27369,
PPG,61041,104567,107299
ECG,61042,-30719,
ECG,61049,-30389,
PPG,61052,104526,107192
ECG,61057,-34837,
PPG,61062,104514,107118
ECG,61065,-34096,
PPG,61072,104475,107046
ECG,61073,-38236,
GSR,61075,471,
PPG,61081,104472,107046
ECG,61082,-37966,
ECG,61088,-42664,
PPG,61092,104459,107022
ECG,61096,-40706,
PPG,61102,104475,107033
ECG,61105,-44764,
PPG,61112,104463,107060
ECG,61113,-43006,
ECG,61120,-44127,
PPG,61123,104475,107089
ECG,61128,-42637,
PPG,61131,104500,107118
GSR,61132,471,
ECG,61136,-44537,
PPG,61142,104529,107134
ECG,61145,-43361,
PPG,61152,104490,107173
ECG,61153,-43386,
PPG,61161,104523,107210
ECG,61162,-43758,
ECG,61168,-44256,
PPG,61172,104549,107235
ECG,61176,-43655,
PPG,61182,104560,107265
ECG,61185,-43068,
GSR,61189,470,
PPG,61192,104558,107302
ECG,61193,-44218,
ECG,61200,-42309,
PPG,61203,104585,107320
ECG,61208,-44237,
PPG,61211,104564,107343
ECG,61216,-42585,
PPG,61221,104613,107359
ECG,61224,-44391,
PPG,61232,104630,107397
ECG,61233,-41853,
PPG,61242,104612,107422
GSR,61243,471,
ECG,61243,-44321,
ECG,61249,-42611,
PPG,61252,104643,107453
ECG,61256,-44366,
PPG,61262,104659,107470
ECG,61263,-42327,
PPG,61272,104635,107505
ECG,61273,-45218,
ECG,61280,-42996,
PPG,61284,104664,107525
ECG,61288,-44938,
PPG,61292,104654,107528
ECG,61296,-43019,
PPG,61301,104667,107515
GSR,61304,471,
ECG,61305,-45254,
PPG,61313,104669,107515
ECG,61314,-43126,
ECG,61321,-44586,
PPG,61324,104668,107493
ECG,61329,-43337,
PPG,61332,104639,107470
ECG,61336,-44233,
PPG,61342,104647,107449
ECG,61344,-43762,
PPG,61351,104616,107430
ECG,61352,-43921,
ECG,61360,-44247,
PPG,61364,104609,107421
GSR,61365,472,
ECG,61368,-44286,
PPG,61372,104618,107423
ECG,61376,-43960,
PPG,61382,104609,107403
ECG,61384,-43631,
PPG,61392,104599,107408
ECG,61393,-45037,
ECG,61401,-43864,
PPG,61404,104605,107424
ECG,61409,-45815,
PPG,61412,104607,107432
ECG,61416,-43615,
PPG,61422,104616,107425
GSR,61423,472,
ECG,61424,-45683,
PPG,61432,104640,107439
ECG,61433,-42925,
ECG,61440,-44616,
PPG,61444,104642,107480
ECG,61448,-43137,
PPG,61453,104638,107480
ECG,61456,-45860,
PPG,61462,104649,107526
ECG,61464,-42576,
PPG,61472,104642,107519
ECG,61473,-45927,
GSR,61478,472,
ECG,61480,-43963,
